,school_id,intervention,actual_mean,predicted_mean,error
154,108106,0,29.83,30.25120000000002,0.4212000000000202
155,105497,0,35.53,33.384400000000035,2.145599999999966
156,104958,0,32.44,32.16820000000004,0.2717999999999563
157,106290,0,31.1,27.99059999999996,3.10940000000004
158,105202,0,34.21,32.65900000000001,1.5509999999999877
159,105940,0,27.4,29.759599999999992,2.3595999999999933
160,105206,0,33.19,30.905500000000043,2.284499999999955
161,136626,0,35.57,31.791800000000013,3.7781999999999876
162,105290,0,29.75,30.653000000000002,0.9030000000000022
163,108174,0,30.99,27.805499999999967,3.184500000000032
164,107710,0,30.11,29.12840000000001,0.9815999999999896
165,107088,0,30.46,31.03300000000002,0.5730000000000182
166,136599,0,27.44,25.590200000000017,1.8497999999999841
167,108908,0,30.83,26.406399999999973,4.423600000000025
168,107025,0,35.73,33.39000000000001,2.339999999999989
169,105779,0,34.57,33.289400000000036,1.2805999999999642
170,106556,0,35.64,35.18309999999998,0.45690000000001874
171,105310,0,31.91,32.096299999999985,0.18629999999998503
172,107089,0,29.58,31.606099999999998,2.0260999999999996
173,107206,0,33.88,33.13960000000006,0.7403999999999442
174,105086,0,32.96,32.30480000000003,0.6551999999999722
175,105782,0,34.38,33.76780000000005,0.6121999999999517
176,107938,0,30.67,26.834900000000026,3.8350999999999758
177,107721,0,31.28,31.187600000000028,0.09239999999997295
178,109561,0,27.78,28.408800000000024,0.6288000000000231
179,105173,0,34.56,33.73539999999998,0.8246000000000251
180,107500,0,34.83,31.85560000000001,2.9743999999999886
181,109540,0,29.05,26.307100000000005,2.7428999999999952
182,106725,0,29.61,31.41120000000001,1.8012000000000121
183,107238,0,36.36,26.5896,9.770399999999999
184,108584,0,33.4,30.48000000000004,2.919999999999959
185,108003,0,34.38,32.088500000000046,2.2914999999999566
186,105871,0,33.26,25.818500000000025,7.441499999999973
187,106681,0,33.17,32.29930000000003,0.8706999999999709
188,105493,0,33.11,33.45630000000002,0.3463000000000207
189,109777,0,27.75,27.296300000000006,0.4536999999999942
190,106444,0,34.46,33.72610000000003,0.73389999999997
191,105586,0,36.8,35.34540000000004,1.4545999999999566
