school_id,landsat_prob_fail,static_prob_fail,intervention,h50_fail_pred,h140_fail_pred,h230_fail_pred,h330_fail_pred,region,province
106768,51.7793197631836,29.059553146362305,0,24.80573844909668,19.574121475219727,42.719234466552734,22.444948196411133,1,11
107261,13.194866180419922,28.94025230407715,0,-1.0,-1.0,-1.0,-1.0,2,2
104627,18.975473403930664,21.52669906616211,0,30.213212966918945,17.646949768066406,12.509054183959961,24.308406829833984,1,1
107825,3.727750062942505,14.108236312866213,0,17.22199821472168,17.363101959228516,37.26425552368164,18.645244598388672,2,2
107424,15.80801010131836,20.846866607666016,0,24.72393226623535,49.94314193725586,27.54678726196289,35.43742752075195,2,2
105574,28.43456649780273,5.586915969848633,0,37.78477096557617,17.635608673095703,17.037700653076172,40.46635818481445,1,7
106356,29.89048957824707,6.173377990722656,0,-1.0,-1.0,-1.0,-1.0,1,11
106352,8.627978324890138,35.40721130371094,0,21.75005340576172,16.844301223754886,10.81478786468506,11.711194038391113,1,11
105358,1.5374982357025146,9.100604057312012,0,-1.0,-1.0,-1.0,-1.0,1,7
109218,51.98214721679688,69.93376922607422,0,-1.0,-1.0,-1.0,-1.0,2,9
105619,1.5025894641876218,7.4421629905700675,0,14.42727756500244,24.44363594055176,36.23339080810547,25.138790130615234,1,7
136877,17.474981307983402,73.48604583740234,0,-1.0,-1.0,-1.0,-1.0,0,6
106378,3.402519702911377,49.486717224121094,0,-1.0,-1.0,-1.0,-1.0,1,11
104923,56.79926300048828,60.55215072631836,0,-1.0,-1.0,-1.0,-1.0,1,3
106144,2.611857891082764,9.89443302154541,0,-1.0,-1.0,-1.0,-1.0,1,8
107837,15.715950965881348,5.0989484786987305,0,-1.0,-1.0,-1.0,-1.0,2,2
105943,8.316272735595701,18.82953643798828,0,36.60487747192383,36.18915557861328,17.40394401550293,18.914831161499023,1,8
105854,0.7505741119384766,39.67213439941406,0,-1.0,-1.0,-1.0,-1.0,1,7
107909,53.32440567016602,22.043115615844727,0,-1.0,-1.0,-1.0,-1.0,2,4
107685,39.3597412109375,60.117713928222656,0,40.20606994628906,47.96911239624024,46.25566482543945,43.40640258789063,2,2
108943,36.55091857910156,21.955907821655273,0,-1.0,-1.0,-1.0,-1.0,2,9
165505,26.852643966674805,53.22071838378906,0,-1.0,-1.0,-1.0,-1.0,2,10
106819,4.457391262054443,26.287487030029297,0,-1.0,-1.0,-1.0,-1.0,1,12
162504,60.31976318359375,29.05954933166504,0,-1.0,-1.0,-1.0,-1.0,1,3
106123,14.410045623779295,43.821189880371094,0,27.93373680114746,36.86716079711914,51.17362594604492,38.572696685791016,1,8
